symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU2,-2,0,0.25,4549301025,4549301063,1,12107.75,12114.25,$130.00,09/06/2022 10:25:28,09/06/2022 10:25:35,6sec
NQU2,-2,0,0.25,4549301100,4549301137,1,12130.75,12132.50,$35.00,09/06/2022 10:43:13,09/06/2022 10:43:52,39sec
NQU2,-2,0,0.25,4549301153,4549301181,1,12113.25,12120.00,$135.00,09/06/2022 10:52:20,09/06/2022 10:52:37,16sec
NQU2,-2,0,0.25,4549301200,4549301231,1,12125.00,12131.50,$130.00,09/06/2022 10:54:12,09/06/2022 10:54:26,14sec
NQU2,-2,0,0.25,4549301251,4549301282,1,12130.00,12132.00,$40.00,09/06/2022 10:55:41,09/06/2022 10:56:10,28sec
NQU2,-2,0,0.25,4549301298,4549301371,1,12125.00,12124.75,$(5.00),09/06/2022 10:59:03,09/06/2022 11:02:27,3min 24sec
NQU2,-2,0,0.25,4549301332,4549301371,1,12116.00,12124.75,$175.00,09/06/2022 11:01:41,09/06/2022 11:02:27,46sec
NQU2,-2,0,0.25,4549301416,4549301391,1,12048.75,12054.25,$110.00,09/06/2022 12:01:20,09/06/2022 11:59:27,1min 53sec
NQU2,-2,0,0.25,4549301462,4549301435,1,12021.25,12025.00,$75.00,09/06/2022 12:06:18,09/06/2022 12:06:05,13sec
NQU2,-2,0,0.25,4549301522,4549301495,1,12007.50,12010.00,$50.00,09/06/2022 12:08:22,09/06/2022 12:08:16,6sec
NQU2,-2,0,0.25,4549301591,4549301557,1,11983.75,11988.75,$100.00,09/06/2022 12:12:11,09/06/2022 12:12:01,9sec
NQU2,-2,0,0.25,4549301633,4549301611,1,11984.75,11990.00,$105.00,09/06/2022 12:21:58,09/06/2022 12:19:04,2min 54sec
NQU2,-2,0,0.25,4549301928,4549301652,1,12002.00,11968.00,$(680.00),09/06/2022 13:54:04,09/06/2022 12:53:38,1h 26sec
NQU2,-2,0,0.25,4549301928,4549301682,1,12002.00,11986.00,$(320.00),09/06/2022 13:54:04,09/06/2022 12:55:15,58min 49sec
NQU2,-2,0,0.25,4549301928,4549301736,1,12002.00,12012.00,$200.00,09/06/2022 13:54:04,09/06/2022 12:59:54,54min 9sec
NQU2,-2,0,0.25,4549301928,4549301791,1,12002.00,12040.00,$760.00,09/06/2022 13:54:04,09/06/2022 13:11:01,43min 3sec
NQU2,-2,0,0.25,4549301928,4549301823,1,12002.00,12030.00,$560.00,09/06/2022 13:54:04,09/06/2022 13:31:36,22min 28sec
NQU2,-2,0,0.25,4549301987,4549301956,1,12000.75,12005.00,$85.00,09/06/2022 14:03:44,09/06/2022 14:02:31,1min 12sec
NQU2,-2,0,0.25,4552426004,4552426031,1,12040.00,12043.25,$65.00,09/06/2022 14:09:50,09/06/2022 14:09:57,6sec
NQU2,-2,0,0.25,4552426047,4552426074,1,12050.00,12052.50,$50.00,09/06/2022 14:14:08,09/06/2022 14:14:17,9sec
NQU2,-2,0,0.25,4552426113,4552426140,1,12045.00,12047.75,$55.00,09/06/2022 14:24:24,09/06/2022 14:24:38,13sec
NQU2,-2,0,0.25,4552426189,4552426156,1,12012.50,12014.75,$45.00,09/06/2022 14:31:25,09/06/2022 14:31:13,12sec
NQU2,-2,0,0.25,4552426238,4552426205,1,12008.00,12009.75,$35.00,09/06/2022 14:32:15,09/06/2022 14:31:54,20sec
