symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU2,-2,0,0.25,1002973535,1002973571,1,13570.25,13572.00,$35.00,08/16/2022 10:06:34,08/16/2022 10:08:27,1min 52sec
NQU2,-2,0,0.25,1002973661,1002973627,1,13613.25,13615.00,$35.00,08/16/2022 10:19:15,08/16/2022 10:18:37,38sec
NQU2,-2,0,0.25,1002973706,1002973677,1,13614.75,13617.00,$45.00,08/16/2022 10:20:34,08/16/2022 10:20:27,7sec
NQU2,-2,0,0.25,1002973726,1002973761,1,13614.25,13615.75,$30.00,08/16/2022 10:26:08,08/16/2022 10:26:14,5sec
NQU2,-2,0,0.25,1002973777,1002973806,1,13643.00,13645.75,$55.00,08/16/2022 10:32:30,08/16/2022 10:33:09,39sec
NQU2,-2,0,0.25,1002973824,1002973854,1,13645.00,13646.50,$30.00,08/16/2022 10:37:56,08/16/2022 10:38:03,6sec
NQU2,-2,0,0.25,1002973888,1002973922,1,13647.00,13648.25,$25.00,08/16/2022 10:43:16,08/16/2022 10:44:50,1min 33sec
NQU2,-2,0,0.25,1002973938,1002973967,1,13648.00,13649.25,$25.00,08/16/2022 10:47:21,08/16/2022 10:47:28,7sec
NQU2,-2,0,0.25,1002973983,1004701023,1,13655.50,13656.75,$25.00,08/16/2022 10:49:07,08/16/2022 10:52:32,3min 25sec
NQU2,-2,0,0.25,1004701039,1004701073,1,13658.00,13662.00,$80.00,08/16/2022 10:53:03,08/16/2022 10:53:16,13sec
NQU2,-2,0,0.25,1004701089,1004701118,1,13676.00,13677.25,$25.00,08/16/2022 11:00:26,08/16/2022 11:00:35,8sec
NQU2,-2,0,0.25,1004701155,1004701189,1,13670.00,13671.75,$35.00,08/16/2022 11:04:20,08/16/2022 11:05:17,56sec
NQU2,-2,0,0.25,1004701205,1004701239,1,13668.00,13669.75,$35.00,08/16/2022 11:08:52,08/16/2022 11:13:41,4min 49sec
NQU2,-2,0,0.25,1004701273,1004701302,1,13674.00,13675.75,$35.00,08/16/2022 11:14:48,08/16/2022 11:15:17,29sec
NQU2,-2,0,0.25,1004701318,1004701347,1,13656.00,13656.50,$10.00,08/16/2022 11:28:18,08/16/2022 11:28:21,3sec
NQU2,-2,0,0.25,1004701395,1004701365,1,13657.25,13658.00,$15.00,08/16/2022 11:33:55,08/16/2022 11:32:06,1min 48sec
NQU2,-2,0,0.25,1004701475,1004701446,1,13651.50,13652.00,$10.00,08/16/2022 11:39:38,08/16/2022 11:39:28,9sec
NQU2,-2,0,0.25,1004701530,1004701491,1,13652.75,13648.00,$(95.00),08/16/2022 11:41:18,08/16/2022 11:39:52,1min 25sec
NQU2,-2,0,0.25,1004701593,1004701564,1,13644.25,13645.00,$15.00,08/16/2022 11:42:51,08/16/2022 11:42:41,9sec
NQU2,-2,0,0.25,1004701638,1004701609,1,13642.75,13644.00,$25.00,08/16/2022 11:43:32,08/16/2022 11:43:28,3sec
NQU2,-2,0,0.25,1004701694,1004701654,1,13637.75,13639.75,$40.00,08/16/2022 11:44:48,08/16/2022 11:43:42,1min 5sec
NQU2,-2,0,0.25,1004701710,1004701739,1,13645.00,13645.75,$15.00,08/16/2022 11:53:58,08/16/2022 11:54:06,7sec
NQU2,-2,0,0.25,1004701755,1004701784,1,13643.50,13645.50,$40.00,08/16/2022 11:55:14,08/16/2022 11:55:57,42sec
NQU2,-2,0,0.25,1004701800,1004701835,1,13659.25,13661.50,$45.00,08/16/2022 12:05:49,08/16/2022 12:05:52,3sec
